dateiname	tbeg_klass_art	erlaeuterung
lk20030203_1bvl001102	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20030428_1bvl000301	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20030428_1bvl000401	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20030709_2bvl000203	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20031010_2bvl000702	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20031014_2bvl001902	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20040114_1bvl000803	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20040303_1bvl001300	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20040312_1bvl000703	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20040629_2bvl000802	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20041117_2bvl001002	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20041117_2bvl001802	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20041208_2bvl000104	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20050214_2bvl000105	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20050415_1bvl000603	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20050610_1bvl000704	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20051222_1bvl000905	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20060112_1bvl001205	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20060418_2bvl000805	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20060418_2bvl001205	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20060509_2bvl000102	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20060509_2bvl000402	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20060509_2bvl000502	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20060620_1bvl000206	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20060621_2bvl000306	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20060727_2bvl001304	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20070206_1bvl001006	Regeln-Satz	automatisch annotiert in ebene-Tags
